timestamp,input_type,object_count,object_classes,object_confidences,gemini_feedback,threat_level,output_file
2025-04-26T10:50:14.348211,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: Medium.  Awaiting further positional data.  All units maintain heightened alert status.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T10:56:32.560309,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: MEDIUM.  Await further location/movement data.  All units maintain situational awareness.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T10:57:34.408929,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: High.  Awaiting location and movement data.  All units maintain heightened readiness.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T13:05:25.959386,image,1,HTANK,93.1,ALERT:  HTANK (93.1% confidence) detected. Threat Level: HIGH.  Await further location/movement data.  All units maintain heightened vigilance.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T13:16:47.853801,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Awaiting location/movement data.  All units prepare for potential engagement.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T13:19:05.295102,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: High.  Awaiting location/movement data.  All units maintain heightened vigilance and prepare for potential engagement.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-26T13:35:02.376069,image,1,MHAT,82.7,ALERT: MHAT units (82.7% confidence) detected.  Threat Level: Medium.  Awaiting further location/movement data for precise targeting.  All units maintain situational awareness.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-26T13:35:55.713402,image,1,MHAT,82.7,ALERT: MHAT units (82.7% confidence) detected.  Threat level: MEDIUM.  Awaiting further positional data for precise targeting/response.  All units maintain situational awareness.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-26T13:38:44.281241,image,1,MHAT,82.7,ALERT: MHAT units (82.7% confidence) detected.  Threat Level: Medium.  Location data pending. All units maintain heightened vigilance and await further intel.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-26T18:14:45.854144,video,1,MHAW,33.8,ALERT: MHAW units detected (33.8% of total). Threat Level: Medium.  Location data pending.  All units maintain heightened situational awareness.  Awaiting further intel.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
